"TOA5","opticos","CR6","2749","CR6.Std.11.01","CPU:Opticos20220511.CR6","58240","Cielometro"
"TIMESTAMP","RECORD","PrimeraBase_m","SegundaBase_m","TerceraBase_m","CuartaBase_m","PrimeraCapa_octas","SegundaCapa_octas","TerceraCapa_octas","CuartaCapa_octas","QuintaCapa_octas","PrimeraAlturaCobertura_m","SegundaAlturaCobertura_m","TerceraAlturaCobertura_m","CuartaAlturaCobertura_m","QuintaAlturaCobertura_m","CS135Status","AlarmFlags"
"TS","RN","meters","meters","meters","meters","oktas","oktas","oktas","oktas","oktas","meters","meters","meters","meters","meters","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-08-11 00:27:15",2584953,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:27:30",2584954,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:27:45",2584955,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:28:00",2584956,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:28:15",2584957,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:28:30",2584958,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:28:45",2584959,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:29:00",2584960,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:29:15",2584961,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:29:30",2584962,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:29:45",2584963,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:30:00",2584964,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:30:15",2584965,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
